parent,child,role
B08-3037345,B2013-3145752,dam
B07-3128597,B2013-3145753,sire
B97-6600121,B2005-6405658,sire
B04-6469830,B2005-6405658,dam
B90-6237530,B97-6600121,sire
B93-6491935,B97-6600121,dam
B94-6582712,B04-6469830,sire
B94-6434010,B04-6469830,dam
NL01-5162009,NL2006-1763608,sire
NL03-1913062,NL2006-1763608,dam
NL98-5834502,NL03-1913062,sire
NL96-1633588,NL03-1913062,dam
B09-3040476,B2013-3145760,sire
B2009-3149960,B2013-3145760,dam
B00-6548780,B2009-6301950,sire
B04-6467302,B2009-6301950,dam
B91-6685040,B00-6548780,sire
B93-6491172,B00-6548780,dam
B93-6681396,B04-6467302,sire
B97-6270490,B04-6467302,dam
NL05-5507031,NL2009-1889664,sire
NL07-1616609,NL2009-1889664,dam
NL02-5226779,NL05-5507031,sire
NL98-5863726,NL05-5507031,dam
NL05-5507031,NL07-1616609,sire
NL02-1400618,NL07-1616609,dam
B07-2038199,B2012-2177368,sire
B06-5158335,B2012-2177368,dam
B04-2180228,B07-2038199,sire
B98-2245478,B07-2038199,dam
B07-2038199,B2012-2177784,sire
B2004-3075492,B2013-3145761,sire
B2008-3022143,B2013-3145761,dam
B99-6185683,B2009-6301955,sire
B04-6369313,B2009-6301955,dam
B95-6316476,B99-6185683,sire
B95-6637008,B99-6185683,dam
B95-6316522,B04-6369313,sire
B02-6499857,B04-6369313,dam
NL03-1911662,NL2011-1343215,sire
NL10-1272216,NL2011-1343215,dam
B93-6234444,NL03-1911662,sire
B90-6661229,NL03-1911662,dam
NL00-5022776,NL10-1272216,sire
NL99-1869054,NL10-1272216,dam
NL05-2159337,NL2009-1889635,sire
NL01-1135505,NL2009-1889635,dam
NL02-2211286,NL05-2159337,sire
NL01-6519910,NL05-2159337,dam
NL98-5821416,NL01-1135505,sire
B07-2038199,B2012-2177762,sire
B08-2169785,B2012-2177762,dam
B06-2075050,B08-2169785,sire
B05-6079766,B08-2169785,dam
B2009-3171413,B2013-3145764,sire
B2006-3125959,B2013-3145764,dam
B01-6262975,B2009-6301961,sire
B99-6552439,B2009-6301961,dam
NL97-5774231,NL2008-1158452,sire
NL04-1990861,NL2008-1158452,dam
NL00-1904975,NL04-1990861,sire
NL97-1447307,NL04-1990861,dam
B07-2038199,B2012-2177387,sire
B09-5163282,B2012-2177387,dam
B99-4221852,B09-5163282,sire
B03-2101211,B09-5163282,dam
B04-3075492,B2013-3145788,sire
B08-3022143,B2013-3145788,dam
B96-6445235,B2007-6385478,sire
B03-6467331,B2007-6385478,dam
B95-6316522,B96-6445235,sire
B94-6434988,B96-6445235,dam
B95-6316476,B03-6467331,sire
B95-6637008,B03-6467331,dam
B07-2038199,B2012-2175528,sire
B08-2239839,B2012-2175528,dam
B04-8008110,B08-2239839,sire
B02-8027185100,B08-2239839,dam
B2010-3183610,B2014-3115733,sire
B2004-3075523,B2014-3115733,dam
B05-3006555,B06-4352098,sire
B03-6381698,B06-4352098,dam
NL97-5774231,NL2008-1158453,sire
NL04-1990861,NL2008-1158453,dam
NL03-1287765,NL2008-1158642,sire
NL01-1135504,NL2008-1158642,dam
NL95-2067230,NL03-1287765,sire
NL92-5212284,NL03-1287765,dam
NL99-1845343,NL01-1135504,sire
NL91-1581202,NL01-1135504,dam
B02-6298957,B2009-6301956,sire
B04-6369209,B2009-6301956,dam
B95-6316539,B02-6298957,sire
B01-6519919,B02-6298957,dam
B96-6490451,B04-6369209,sire
B96-6406776,B04-6369209,dam
NL02-2258989,NL2008-1158654,sire
NL03-1979970,NL2008-1158654,dam
B09-8007453,B2012-2177415,sire
B10-5164385,B2012-2177415,dam
B06-439138,B09-8007453,sire
B06-802879611,B09-8007453,dam
B97-1680766,B10-5164385,sire
B92-9254304,B10-5164385,dam
B09-8007453,B2012-2177739,sire
B06-8030517,B2012-2177739,dam
NL02-2258989,NL2008-1158685,sire
NL03-1979970,NL2008-1158685,dam
B00-6548780,B2009-6301949,sire
B04-6467302,B2009-6301949,dam
NL01-2056083,NL2008-1158669,sire
NL01-5118312,NL2008-1158669,dam
NL93-5383224,NL01-2056083,sire
B88-3206088,NL01-2056083,dam
NL99-2076269,NL01-5118312,sire
NL95-5552668,NL01-5118312,dam
B02-2186629,B09-2044111,sire
B92-6520318,B09-2044111,dam
B09-8007453,B2012-5034529,sire
B10-2008439,B2012-5034529,dam
B04-1217281,B10-2008439,sire
B03-1548713,B10-2008439,dam
B09-8007453,B2012-2177705,sire
B06-8030517,B2012-2177705,dam
NL05-5507031,NL2009-1889656,sire
NL07-1430507,NL2009-1889656,dam
NL97-2524534,NL07-1430507,sire
NL91-1581202,NL07-1430507,dam
B05-1048372,B2009-2203637,sire
B08-4002600,B2009-2203637,dam
B01-1009002,B05-1048372,sire
B96-1089255,B05-1048372,dam
B06-410092008,B08-4002600,sire
B04-403302508,B08-4002600,dam
B08-4281576,B2012-4176540,sire
B08-4281517,B2012-4176540,dam
B02-3003538,B08-4281576,sire
B96-4391939,B08-4281576,dam
B06-4377103,B08-4281517,sire
B05-2076701,B08-4281517,dam
B08-4281576,B2012-4176541,sire
B08-4281517,B2012-4176541,dam
B05-3006555,B06-4352099,sire
B03-6381698,B06-4352099,dam
B09-4321763,B2012-4176546,sire
B10-4275198,B2012-4176546,dam
B06-4377103,B10-4275198,sire
B05-2076701,B10-4275198,dam
B09-4321763,B2012-4176547,sire
B10-4275198,B2012-4176547,dam
B05-3006555,B09-4280780,sire
B03-6381698,B09-4280780,dam
B09-4321763,B2012-4281866,sire
B06-4352099,B2012-4281866,dam
B09-4321763,B2012-4281867,sire
B06-4352099,B2012-4281867,dam
B01-2204103,B2010-2067891,sire
B06-2129166,B2010-2067891,dam
B97-2288462,B01-2204103,sire
B93-6158625,B01-2204103,dam
B04-2234898,B06-2129166,sire
B99-2250643,B06-2129166,dam
NL07-1841493,NL10-3052860,sire
NL03-1272712,NL10-3052860,dam
NL04-2075085,NL07-1841493,sire
NL06-1091797,NL07-1841493,dam
NL94-9410369,NL03-1272712,sire
NL97-9779802,NL03-1272712,dam
NL06-0761861,NL12-1762868,sire
NL05-0526031,NL12-1762868,dam
NL02-0230933,NL06-0761861,sire
NL03-1272740,NL06-0761861,dam
NL01-0135527,NL05-0526031,sire
NL04-0433823,NL05-0526031,dam
B99-6143668,B08-6314858,sire
B02-6509064,B08-6314858,dam
B99-6143668,B07-6076185,sire
B09-6222995,B11-6265136,dam
B08-6314549,B09-6222176,dam
B99-6143980,B08-6314549,sire
B04-2211833,B08-6314549,dam
B09-6075524,B16-6076753,sire
B06-6255096,B16-6076753,dam
B08-6173818,B09-6075524,sire
B03-6277418,B06-6255096,sire
B13-6313091,B16-6076771,sire
B11-6261379,B13-6096649,dam
B94-6495178,B11-6261379,sire
B09-6130504,B11-6261379,dam
B08-6245182,B14-6022696,sire
B06-6154774,B08-6245182,dam
B08-6245266,B14-6022950,dam
NL09-1433115,NL10-1920087,sire
NL07-2073335,NL12-1840949,sire
NL03-1429906,NL12-1840949,dam
NL04-0416184,NL09-3938205,sire
NL07-3713723,NL09-3938205,dam
B04-6202172,B06-6346026,dam
B02-6354241,B06-6346099,sire
B98-6185637,B06-6346099,dam
B98-6335690,B10-6031799,sire
B04-6307341,B10-6031799,dam
B04-2182150,B11-2076111,sire
B08-6177647,B11-2076111,dam
B08-4351119,B10-4327645,sire
B04-4217179,B10-4327645,dam
B14-6072376,B16-6023127,sire
B14-6072406,B16-6023127,dam
B10-6297742,B12-6023210,sire
B09-2035886,B12-6023210,dam
BEL2013-6313951,BEL2014-6311501,sire
BEL2011-6167109,BEL2014-6311501,dam
B10-6224892,BEL2013-6313951,sire
B11-6167114,BEL2013-6313951,dam
B10-6271294,BEL2011-6167109,sire
B09-6252500,BEL2011-6167109,dam
B2013-6151395,BELG2014-6311503,sire
B2010-6342498,BELG2014-6311503,dam
B08-6139992,B2010-6342498,sire
B08-6140000,B2010-6342498,dam
B11-6048098,B16-6240050,sire
B10-6056227,B16-6240050,dam
B05-5223008,B11-6048098,dam
B01-6035628,B10-6056227,sire
B02-6509972,B10-6056227,dam
B06-6405124,DV02114-12-2572,sire
B05-6045377,DV02114-12-2572,dam
B00-6141426,B06-6405124,sire
B04-6073812,B06-6405124,dam
B00-6141426,B05-6045377,sire
B01-6094302,B05-6045377,dam
NL09-1680568,NL12-1086659,sire
NL96-2333317,NL09-1680568,sire
B13-6298518,B16-6129329,sire
B13-6216998,B16-6129329,dam
B12-6157147,B13-6298518,sire
B12-6157109,B13-6298518,dam
B06-6370972,B13-6216998,sire
B11-6245326,B13-6216998,dam
NL09-1596078,NL11-1110329,dam
B06-6154937,NL12-1880647,sire
NL06-1386111,NL12-1880647,dam
NL05-1722174,NL06-1386111,sire
NL04-1167211,NL06-1386111,dam
NL03-1943126,NL2006-1792804,sire
NL04-1590303,NL2006-1792804,dam
NL93-5334501,NL03-1943126,sire
NL92-2844313,NL03-1943126,dam
NL97-2500708,NL04-1590303,sire
NL98-2530393,NL04-1590303,dam
B11-6238839,B14-6240182,sire
B13-6309936,B14-6240182,dam
B02-6034293,B11-6238839,sire
B10-6298629,B11-6238839,dam
B12-6318216,B13-6309936,sire
B10-6234528,B13-6309936,dam
B10-6052293,B14-6175308,dam
B08-6174630,B10-6052293,sire
B06-6270117,B10-6052293,dam
NL07-2007621,NL12-1783988,sire
NL09-1647005,NL12-1783988,dam
NL13-5305259,NL15-1144597,dam
B12-6130761,NL13-5305259,sire
NL11-1160021,NL13-5305259,dam
NL06-1962596,NL07-1164308,sire
NL03-1684335,NL07-1164308,dam
NL98-5860094,NL06-1962596,sire
NL96-5640249,NL06-1962596,dam
B14-6118083,B16-6081006,sire
B11-6168958,B16-6081006,dam
B10-6359166,B14-6118083,sire
B06-6410652,B14-6118083,dam
B04-6325441,B11-6168958,sire
B08-6364806,B11-6168958,dam
B10-6341112,B13-6121106,sire
B10-6298629,B13-6121106,dam
B11-6108658,B17-6025402,sire
B12-6196484,B17-6025402,dam
B10-6052092,B12-6196484,sire
B08-6144028,B12-6196484,dam
NL03-5340560,NL15-1164756,sire
NL08-2048855,NL15-1164756,dam
NL01-1048321,NL03-5340560,sire
NL02-5255404,NL03-5340560,dam
NL01-1135413,NL08-2048855,sire
B14-6312722,B17-6084648,sire
B15-6108687,B17-6084648,dam
B13-6321314,B14-6312722,dam
B10-6358364,B15-6108687,sire
B07-6336568,B15-6108687,dam
NL12-1144199,NL13-1617373,sire
NL12-1037140,NL13-1617373,dam
NL09-1680568,NL12-1037140,sire
NL09-1632135,NL12-1037140,dam
B16-4230264,NL17-1848822,sire
B16-4230673,NL17-1848822,dam
B13-6139803,B16-4230264,sire
B12-6324671,B16-4230264,dam
B10-6291397,B16-4230673,sire
B10-6271300,B16-4230673,dam
B12-6158600,B15-6093218,sire
B11-6238707,B15-6093218,dam
B08-6173877,B12-6158600,sire
B09-3075543,B12-6158600,dam
B08-6339297,B11-6238707,sire
B03-6086804,B11-6238707,dam
NL95-1401775,NL08-1125280,sire
NL01-1643315,NL08-1125280,dam
NL01-1351754,NL08-1125286,sire
NL92-2844313,NL08-1125286,dam
B13-6122949,B17-6148757,sire
B15-6285506,B17-6148757,dam
B10-6341112,B13-6122949,sire
B10-6298629,B13-6122949,dam
B14-2328168,B15-6285506,sire
B13-6122918,B15-6285506,dam
NL08-1537236,NL09-1186313,sire
NL07-1817907,NL09-1186313,dam
NL04-5430805,NL13-1655064,sire
NL12-4703552,NL13-1655064,dam
NLO7-1817924,NL14-1059638,dam
NL06-2162368,NL11-1740826,dam
NL00-5063949,NL06-4720774,dam
B2006-5054807,BELG2009-50617,sire
B04-5026397,BELG2009-50617,dam
B93-5139333,B2006-5054807,sire
B93-5314244,B2006-5054807,dam
B04-3099198,CHN2007-01-473699,sire
B98-4298129,CHN2007-01-473699,dam
CHN11-01-629909,CHN2012-01-973555,dam
CHN11-04-757775,CHN2012-01-973580,sire
NL07-1183432,CHN2012-01-973580,dam
CHN12-01-973580,CHN2013-01-916138,sire
CHN11-04-750869,CHN2013-01-916138,dam
CHN11-04-757775,CHN12-01-973580,sire
NL07-1183432,CHN12-01-973580,dam
CHN11-04-757111,CHN2014-01-720016,sire
B07-6378086,CHN2014-01-720016,dam
B05-6453376,CHN11-04-757111,sire
NL09-1084832,CHN11-04-757111,dam
NL07-1183431,CHN2013-01-916101,sire
CHN12-01-973577,CHN2013-01-916101,dam
CHN12-01-973580,CHN2013-01-1173169,sire
CHN11-04-750869,CHN2013-01-1173169,dam
NL07-1183431,CHN2013-01-916136,sire
CHN12-01-973577,CHN2013-01-916136,dam
CHN11-01-629909,CHN2012-01-973599,dam
B09-6047528,CHN12-01-929777,sire
DV07-08857-401,CHN12-01-929777,dam
NL00-2443424,NL01-2133700,sire
NL00-2443422,NL01-2133700,dam
NL00-2443432,NL02-1868144,sire
NL00-2225235,NL02-1868144,dam
NL97-1801958,NL02-1868145,sire
NL93-1265486,NL02-1868145,dam
NL97-1801962,NL03-1358908,sire
NL96-2566381,NL03-1358908,dam
NL98-6423582,NL03-1358929,sire
NL97-1801901,NL03-1358929,dam
NL90-1052443,NL98-5879002,sire
NL90-2887876,NL98-5879002,dam
NL97-2588843,NL01-5162087,sire
NL99-1128549,NL01-5162087,dam
NL94-1741816,NL00-2225207,sire
NL94-1741814,NL00-2225207,dam
NL00-2443424,NL01-2134891,sire
NL00-2443422,NL01-2134891,dam
NL90-1087793,NL97-1801962,sire
NL85-1711123,NL97-1801962,dam
NL91-2575828,NL96-2566381,sire
NL93-1265487,NL96-2566381,dam
NL94-1741816,NL92-1550280,sire
NL94-1741814,NL92-1550280,dam
NL00-2443424,NL01-2418166,sire
NL00-2443422,NL01-2418166,dam
NL07-1273918,B17-6092230,sire
B12-6327926,B17-6092230,dam
B03-6032896,NL07-1273918,sire
B03-6192606,NL07-1273918,dam
B11-6094058,B12-6327926,sire
B11-6333522,B12-6327926,dam
B11-6091894,B17-6092310,sire
B14-6308739,B17-6092310,dam
B02-6113220,B11-6091894,sire
B06-6410620,B11-6091894,dam
B13-6310313,B14-6308739,sire
B13-6075894,B14-6308739,dam
B15-6073274,B17-6092388,sire
B14-3115207,B17-6092388,dam
NL08-2048857,B15-6073274,sire
B12-6123808,B15-6073274,dam
B11-3123473,B14-3115207,sire
B11-3073298,B14-3115207,dam
B07-6369515,B17-6092424,sire
B02-6113220,B07-6369515,sire
B03-6192536,B07-6369515,dam
B12-6321657,B17-6248390,dam
B09-6269108,B12-6321657,sire
B08-6050132,B12-6321657,dam
B15-6286375,B17-6248462,sire
B07-6369515,B15-6286375,sire
B12-6123808,B15-6286375,dam
B10-6347283,B17-6092417,sire
B06-6148179,B10-6347283,sire
B06-6148039,B10-6347283,dam
B13-6309851,B17-6261993,sire
B09-6269108,B13-6309851,sire
B08-6050132,B13-6309851,dam
B10-6339953,B17-6262709,sire
B06-6405134,B10-6339953,dam
B07-6371101,B17-6262763,sire
B01-6455003,B07-6371101,sire
B06-6148080,B07-6371101,dam
B13-6308477,B17-6092435,sire
B14-6305796,B17-6092435,dam
B07-6379900,B13-6308477,sire
B06-6405133,B13-6308477,dam
B13-6139803,B14-6305796,sire
B12-6321657,B14-6305796,dam
B03-2043002,B08-3049003,sire
B03-3036936,B08-3049003,dam
B00-2090217,B03-2043002,sire
B02-2090166,B03-2043002,dam
B02-3003668,B04-3230807,dam
B97-3157176,B02-3003668,sire
B94-2401842,B02-3003668,dam
NL01-1648286,NL08-3852500,sire
NL03-0382916,NL08-3852500,dam
NL98-2005532,NL01-1648286,sire
NL98-2005545,NL01-1648286,dam
NL99-9939810,NL03-0382916,sire
NL96-9627250,NL03-0382916,dam
BELG96-3156109,BELG2000-3279961,sire
BELG93-3354340,BELG2000-3279961,dam
BELG93-3354689,BELG2000-3076346,sire
BELG96-2346219,BELG2000-3076346,dam
NL99-1575803,NL05-1935679,sire
NL05-2110165,NL08-1101967,sire
NL05-1239910,NL08-1101967,dam
NL01-0108575,NL05-2110165,sire
NL97-9709396,NL05-2110165,dam
NL01-1695110,NL05-1239910,sire
NL04-1897022,NL05-1239910,dam
CHN2008-01-019794,CHN14-01-202557,dam
B2000-6553131,B03-6457014,sire
B2000-6448091,B03-6457014,dam
B08-6316413,B12-6235192,sire
B08-6372527,B12-6235192,dam
B07-6077302,B08-6372527,sire
B04-6278385,B08-6372527,dam
DV01769-03-31,DV01769-05-143,sire
DV01769-99-429,DV01769-05-143,dam
DV07900-95-202,DV01769-05-1024,sire
DV07169-04-1221,DV01769-05-1024,dam
DV04487-06-925,NL08-1872835,dam
DV04487-97-2983,DV04487-06-925,sire
DV00487-03-1037,DV04487-06-925,dam
B07-4093493,B11-4289655,sire
NL98-5821415,CHN09-03-678192,sire
NL99-5971339,CHN09-03-678192,dam
B95-036,B04-6231841,sire
B03-6226034,B95-036,sire
BELG98-3158062,B05-3006547,sire
BELG02-3185472,BELG11-4045750,sire
BELG08-3935363,BELG11-4045750,dam
BELG98-3158062,BELG03-3003771,sire
BELG02-3185273,BELG03-3003771,dam
BELG98-3158062,BELG05-3006570,sire
BELG01-3031030,BELG05-3006570,dam
BE97-6592444,B2004-646723,sire
BE01-6365158,B2004-646723,dam
NL05-1936470,DV01769-10-1755,dam
B08-6298348,B09-6323112,sire
B08-6297117,B09-6323112,dam
B08-6338583,B13-6215784,sire
B10-6284702,B13-6215784,dam
NL07-2007621,NL13-1394851,sire
NL10-1864544,NL13-1394851,dam
B01-3266512,NL10-1864544,sire
NL05-1936558,NL10-1864544,dam
NL12-1784621,NL16-1047663,sire
B14-2263060,NL16-1047663,dam
NL07-2007621,NL12-1784621,sire
NL11-1912576,NL12-1784621,dam
B09-2000290,B14-2263060,sire
B12-2182876,B14-2263060,dam
NL12-1784621,NL16-1047668,sire
NL14-1210077,NL16-1047668,dam
NL11-1159921,NL14-1210077,sire
NL13-1962183,NL14-1210077,dam
DV01769-08-162,DV01769-09-1180,sire
DV01769-02-638,DV01769-08-162,sire
DV01769-06-20,DV01769-08-162,dam
B78-6145268,B96-6615170,dam
B99-6143980,B08-6314769,sire
B98-6594049,B08-6314769,dam
NL07-2007621,NL15-1850095,sire
NL13-1962189,NL15-1850095,dam
NL02-5251731,NL11-1186015,sire
NL08-5821696,NL11-1186015,dam
DV02098-08-520,BELG2004-6245526,sire
DV04153-14-681,BELG2004-6245526,dam
DV04153-11-472,DV04153-14-681,sire
DV04153-11-463,DV04153-14-681,dam
B1990-6306731,T03-157539,sire
C1997-2317100,T03-157539,dam
B1984-6685755,B1990-6306731,sire
B1982-6729646,B1990-6306731,dam
DV01063-07-1078,CHN13-01-1014798,sire
CHN12-01-442151,CHN15-01-1296433,dam
B03-6296093,B07-2090939,dam
B90-2553359,B99-2036005,sire
B91-2607038,B97-2450276,sire
B96-2464683,B97-2450276,dam
TW96-0648622004-4935,TW05-110903,sire
TW99-208839,TW05-110903,dam
TW04-101392,TW06-762367,sire
TW05-107137,TW06-762367,dam
TW94-385950,TW04-068722,sire
TW97-572388,TW04-068722,dam
TW01-13842,TW06-654304,sire
TW99-14313,TW06-654304,dam
TW97-289783,TW04-036554,sire
TW95-598291,TW04-036554,dam
TW06-111879,TW08-573262,sire
TW03-089916,TW08-573262,dam
TW03-089899,TW06-111879,sire
TW01-76938,TW06-111879,dam
TW97-289291,TW09-266555,sire
TW95-598291,TW09-266555,dam
NL05-1394772,NL09-1186578,sire
NL06-2162275,NL09-1186578,dam
B05-2143154,B06-2082153,sire
B01-3076022,B06-2082153,dam
B97-3221726,B08-3079190,sire
B01-5241982,B08-3079190,dam
B03--3131884,B07-3141523,sire
B03-3131055,B07-3141523,dam
B98-3194065,B04-3099032,sire
B98-3145089,B04-3099032,dam
B02-6106921,B05-6155125,sire
B99-6375826,B05-6155125,dam
B05-5202273,B07-5100842,sire
B03-5233128,B07-5100842,dam
B4-5174955,B05-5076915,sire
B99-5248527,B05-5076915,dam
B01-5193595,B09-5086203,sire
B03-5209700,B09-5086203,dam
B96-6598538,NL02-1949785,sire
NL94-1867295,NL02-1949785,dam
B02-4479161,B04-6231730,sire
B02-6121573,B04-6231730,dam
B03-6226043,B07-6110157,sire
B05-6358711,B07-6110157,dam
B94-6154676,B12-6225289,sire
B09-6130504,B12-6225289,dam
B04-6231730,B08-6245181,sire
B07-6110157,B08-6245181,dam
B08-6245257,B11-6261421,sire
B09-6130649,B11-6261421,dam
B03-6226043,B10-6166159,sire
B06-6154559,B10-6166159,dam
B03-6226043,B06-6154781,sire
B04-6472086,B06-6154781,dam
B99-6151734,B08-6245286,sire
B05-6170705,B08-6245286,dam
C01-115698,C06-065766,sire
NL97-2524534,NL10-1326742,sire
NL09-1375385,NL10-1326742,dam
NL07-1183483,B09-6201652,sire
B04-4433053,B09-6201652,dam
B93-6234444,NL06-1763723,sire
B90-6661229,NL06-1763723,dam
B12-6225289,B13-6096567,sire
B08-6245181,B13-6096567,dam
CHN2011-676628,CHN17-1623628,sire
NL04-1559702,CHN17-1623628,dam
NL03-1917784,NL08-1101504,sire
NL02-1109278,NL08-1101504,dam
NL04-1560775,NL10-1271414,sire
B06-4371196,NL10-1271414,dam
NL00-1485064,NL04-1560775,sire
NL01-1410963,NL04-1560775,dam
NL04-1560565,NL10-1272560,sire
NL92-1516130,NL01-4140734,sire
NL96-2657786,NL01-4140734,dam
B93-6234444,NL03-1912826,sire
NL99-1863473,NL03-1912826,dam
NL04-1560775,NL08-1101504,sire
NL06-1437170,NL08-1101504,dam
NL99-1870289,NL07-1373316,sire
NL06-1768406,NL07-1373316,dam
NL02-1107503,NL08-1102884,sire
NL006-1437169,NL08-1102884,dam
NL03-2312657,NL05-2103610,sire
NL03-1911317,NL05-2103610,dam
NL95-1392071,NL08-1685668,sire
NL97-2544865,NL08-1685668,dam
NL06-1763723,CHN13-721886,sire
NL02-1949785,CHN13-721886,dam
NL05-0534544,NL09-1332561,sire
NL01-0143184,NL09-1332561,dam
NL2006-1763723,CHN11-676665,sire
NL04-1114891,CHN11-676665,dam
NL06-1763723,C10-273658,sire
NL93-2652867,C10-273658,dam
NL06-1763723,CHN13-667533,sire
NL08-1685668,CHN13-667533,dam
B07-6076227,B12-6327209,sire
B08-6314564,B12-6327209,dam
C10-273658,CHN14-1230013,sire
C11-676698,CHN14-1230013,dam
CHN13-667533,CHN16-0518569,sire
B12-6327209,CHN16-0518569,dam
CHN13-721886,CHN16-1435471,sire
NL09-1332561,CHN16-1435471,dam
NL02-1119052,NL08-1098798,sire
NL04-1559249,NL08-1098798,dam
B04-6231730,B08-6245283,sire
B02-4479161,B08-6245283,dam
NL06-1763723,CHN14-303303,sire
NL98-2264102,NL00-1523838,sire
NL99-1899681,NL00-1523838,dam
NL02-1107503,NL06-1763388,sire
NL00-1489953,NL06-1763388,dam
B08-6245283,CHN16-1435462,sire
CHN11-676618,CHN16-1435462,dam
NL95-1392071,NL02-1949785,sire
NL97-2544865,NL02-1949785,dam
B05-6116201,B08-6174602,sire
B06-6255052,B08-6174602,dam
B01-6387350,B05-6234389,sire
B02-00825433,B05-6234389,dam
B03-6287052,B06-6270290,sire
B03-6287244,B06-6270290,dam
B01-6387174,B06-6411546,sire
B04-6058148,B06-6411546,dam
B05-9091105,B07-6403737,sire
B04-2019978,B07-6403737,dam
B00-6249328,B01-6387174,sire
B00-6249033,B01-6387174,dam
B2002-6058048,B04-6058148,sire
B2001-6387159,B04-6058148,dam
NL01-5120138,NL03-1911888,sire
NL98-5845911,NL03-1911888,dam
NL02-1247225,NL03-1995155,sire
NL97-1037429,NL03-1995155,dam
NL00-1523838,NL10-1271362,sire
NL06-1763388,NL10-1271362,dam
NL04-1560565,NL06-1765840,sire
NL03-1912064,NL06-1765840,dam
NL2006-1763723,CHN2010-273658,sire
C11-676628,CHN2013-667008,sire
B00-6156432,B06-6188481,sire
B97-6165830,B06-6188481,dam
B99-6143980,B08-6314564,sire
B98-6594049,B08-6314564,dam
B97-6165917,B08-6314564,sire
NL99-1863473,NL06-1763723,dam
P98-8514185,P06-6665662,sire
P04-0000001,P06-6665662,dam
P06-6152105,P07-7509562,sire
P06-6124798,P07-7509562,dam
B98-6210287,B07-6076227,sire
B05-6448107,B07-6076227,dam
B04-6276331,B08-6314564,dam
NL95-1392071,NL01-1371427,sire
B07-6110157,B08-6245283,dam
NL06-1763723,CHN11-676618,sire
B07-2038278,BELG2012--5005616,sire
B10-5012552,BELG2012--5005616,dam
B04-2180448,B07-2038278,sire
B03-2184363,B07-2038278,dam
B02-5016117,B10-5012552,sire
B03-5105029,B10-5012552,dam
B88-2345353,B04-2180448,sire
B01-2184326,B04-2180448,dam
B01-2184334,B03-2184363,sire
B01-2339226,B03-2184363,dam
B98-6593442,NL04-1389764,sire
B98-6411726,NL04-1389764,dam
B86-6475153,B98-6593442,sire
B96-6086289,B98-6593442,dam
B95-6316485,B98-6411726,sire
B95-6316595,B98-6411726,dam
B03-6266193,B14-6085255,sire
B13-6080431,B14-6085255,dam
B92-6074700,B03-6266193,sire
B96-6307261,B03-6266193,dam
B11-6265281,B13-6080431,sire
B11-6265287,B13-6080431,dam
B04-6208161,B11-6289619,sire
B04-6208086,B11-6289619,dam
B95-6536121,B04-6208161,sire
B96-6100120,B04-6208161,dam
B00-6032021,B04-6208086,sire
B03-6437277,B04-6208086,dam
B02-5016117,BELG2010--5012552,sire
B03-5105029,BELG2010--5012552,dam
B96-5087321,B02-5016117,sire
B95-5259054,B02-5016117,dam
B00-5062000,B03-5105029,sire
NL96-1008450,B03-5105029,dam
B02-6092673,B14-6085161,sire
B09-6222668,B14-6085161,dam
B96-6223435,B02-6092673,sire
B97-6364092,B02-6092673,dam
B01-6255015,B09-6222668,sire
B02-6091489,B09-6222668,dam
B94-6093632,B06-6185463,sire
B05-6306355,B06-6185463,dam
B85-6392475,B94-6093632,sire
B83-6528577,B94-6093632,dam
B00-6032099,B05-6306355,sire
B01-6080646,B05-6306355,dam
B10-6217260,B13-6319835,sire
B11-5093274,B13-6319835,dam
B06-1437228,B11-5093274,sire
B10-5189940,B11-5093274,dam
B06-6210256,B16-6075725,sire
B15-6202079,B16-6075725,dam
B95-6246005,B06-6210256,sire
B97-6466984,B06-6210256,dam
B09-6251684,B15-6202079,sire
B08-6173836,B15-6202079,dam
B10-4049411,B14-4148048,sire
B10-4049430,B14-4148048,dam
B98-4185254,B10-4049411,sire
B04-2124299,B10-4049411,dam
B09-4114906,B10-4049430,sire
B07-4067927,B10-4049430,dam
B03-6266193,B13-6080502,sire
B09-6222554,B13-6080502,dam
B07-6076618,B09-6222554,sire
B08-6314776,B09-6222554,dam
B10-6217260,B13-6167373,sire
B08-6232780,B13-6167373,dam
B07-2038278,BELG2014--2112459,sire
B10-5012552,BELG2014--2112459,dam
B10-4049431,B14-4148062,sire
B11-4024598,B14-4148062,dam
B09-4114906,B10-4049431,sire
B07-4067927,B10-4049431,dam
B07-4373754,B11-4024598,sire
B05-4130429,B11-4024598,dam
B03-6266193,B13-6080755,sire
B11-6265448,B13-6080755,dam
B05-6306292,B12-6325770,sire
B02-6051657,B12-6325770,dam
B00-6032231,B05-6306292,sire
B03-6437325,B05-6306292,dam
B99-6082066,B02-6051657,sire
B99-6082059,B02-6051657,dam
B07-2038278,BELG2014--2112460,sire
B10-5012552,BELG2014--2112460,dam
B03-6266193,B14-6085316,sire
B05-6168668,B14-6085316,dam
B02-6092827,B05-6168668,sire
B97-6206715,B05-6168668,dam
B10-6217260,B13-6312952,sire
B06-6414603,B13-6312952,dam
B03-6437345,B06-6414603,sire
B02-6051754,B06-6414603,dam
B07-6076618,B13-6080946,sire
B08-6314776,B13-6080946,dam
B99-6143980,B07-6076618,sire
B05-6448106,B07-6076618,dam
B97-6165917,B08-6314776,sire
B04-6276331,B08-6314776,dam
B04-6208161,B13-6306692,sire
