parent,child,role
DV02098-07-261,DV02098-12-594,sire
DV02098-06-240,DV02098-12-594,dam
DV02098-07-261,DV02098-12-599,sire
DV02098-07-351,DV02098-12-599,dam
DV02098-07-120,DV0824-13-217,sire
DV02098-08-444,DV0824-13-217,dam
DV02098-01-36,DV02098-07-120,sire
DV02098-03-1260,DV02098-07-120,dam
DV02098-95-12,DV02098-08-444,sire
DV02098-07-333,DV02098-08-444,dam
DV02098-11-295,DV05138-16-812,sire
DV02098-13-567,DV05138-16-812,dam
DV02098-07-261,DV02098-11-295,sire
DV02098-06-240,DV02098-11-295,dam
DV02098-08-520,DV02098-13-567,sire
NL05-1937948,DV02098-13-567,dam
DV02098-09-1881,DV0824-12-959,sire
DV02098-05-678,DV0824-12-959,dam
DV02098-02-555,DV02098-09-1881,sire
DV02098-98-568,DV02098-09-1881,dam
DV02098-02-555,DV02098-05-678,sire
B02-6433588,DV02098-05-678,dam
DV09824-09-13,DV09309-10-863,sire
DV09824-09-631,DV09309-10-863,dam
DV00135-08-274,DV09824-09-13,sire
DV02098-05-756,DV09824-09-13,dam
DV02098-07-788,DV09824-09-631,sire
DV05308-07-237,DV09824-09-631,dam
DV02098-03-1105,DV03145-10-45,sire
DV02098-09-2043,DV03145-10-45,dam
DV02098-95-12,DV02098-03-1105,sire
DV02098-93-665,DV02098-03-1105,dam
DV02098-01-36,DV02098-09-2043,sire
NL07-1207701,DV02098-09-2043,dam
DV07259-12-569,DV0824-15-473,sire
DV02098-05-647,DV0824-15-473,dam
DV02098-06-469,DV07259-12-569,sire
DV02098-08-500,DV07259-12-569,dam
DV02098-02-555,DV02098-05-647,sire
B02-64335588,DV02098-05-647,dam
DV02098-10-1578,DV05138-16-900,sire
DV02098-11-274,DV05138-16-900,dam
DV02098-07-261,DV02098-10-1578,sire
DV02098-07-351,DV02098-10-1578,dam
DV02098-07-261,DV02098-11-274,sire
DV02098-07-351,DV02098-11-274,dam
DV03145-11-90,DV03145-13-1154,sire
DV03145-10-29,DV03145-13-1154,dam
DV03145-10-33,DV03145-11-90,sire
DV02098-04-1460,DV03145-11-90,dam
DV02098-03-1105,DV03145-10-29,sire
DV02098-09-2043,DV03145-10-29,dam
DV02098-04-1380,DV0824-12-934,sire
DV02098-06-383,DV0824-12-934,dam
DV02098-97-330,DV02098-04-1380,sire
B01-3025114,DV02098-04-1380,dam
DV02098-97-330,DV02098-06-383,sire
B01-3025114,DV02098-06-383,dam
DV03145-10-672,DV03145-13-645,sire
DV09460-09-525,DV03145-13-645,dam
DV02098-03-1070,DV03145-10-672,sire
DV07237-09-416,DV03145-10-672,dam
DV02098-98-1163,DV09460-09-525,sire
DV02098-01-13,DV09460-09-525,dam
DV02098-11-33,DV0814-12-940,sire
DV02098-11-133,DV0814-12-940,dam
DV03145-11-63,DV03145-13-1162,sire
DV03145-12-469,DV03145-13-1162,dam
DV02098-03-1105,DV03145-11-63,sire
DV02098-09-2043,DV03145-11-63,dam
DV02098-02-525,DV03145-12-469,sire
DV07237-06-1270,DV03145-12-469,dam
DV03145-12-431,DV03145-13-1024,sire
DV03145-12-470,DV03145-13-1024,dam
DV02098-10-1416,DV03145-12-431,sire
NL11-2013991,DV03145-12-431,dam
DV02098-02-525,DV03145-12-470,sire
DV07237-06-1270,DV03145-12-470,dam
DV07237-09-193,DV03145-13-860,sire
DV07237-09-313,DV03145-13-860,dam
DV02098-04-1304,DV07237-09-193,sire
DV02098-07-382,DV07237-09-193,dam
DV02098-02-434,DV07237-09-313,sire
DV02098-06-466,DV07237-09-313,dam
DV02098-06-312,DV03432-09-109,sire
NL00-5063898,DV03432-09-109,dam
DV02098-04-1530,DV02098-06-312,sire
