img_id,father,mother,pgf,pgm,mgf,mgm
602717,,,,,,
602716,,,,,,
602715,,,,,,
602714,,,,,,
602713,,,,,,
602712,,,,,,
602711,,,,,,
680471,,,,,,
672276,,,,,,
672263,,,,,,
680472,,,,,,
672282,,,,,,
672268,,,,,,
680473,,,,,,
672281,,,,,,
672269,,,,,,
680474,,,,,,
672280,,,,,,
672262,,,,,,
680475,,,,,,
672279,,,,,,
672264,,,,,,
680476,,,,,,
672278,,,,,,
672265,,,,,,
672277,,,,,,
672267,,,,,,
672287,,,,,,
672271,,,,BE2028514-08,,BE2034172-13
672286,,,,,,
672270,,,,,,
672285,,,,,,
672272,,,,,,
672284,,,,,,
672274,,,,,,
672291,,,,,,
672273,,,,,,
672290,,,,,,
672266,,,,,,
672289,,,,,,
674832,,,,,,
674831,,,,,,
674830,,,,,,
674829,,,,,,
674828,,,,,,
674827,,,,,,
674826,,,,,,
674825,,,,,,
674824,,,,,,
674823,,,,,,
674822,,,,,,
674821,,,,,,
672196,,,,,,
671655,,,,,,
671654,,,,,,
671652,,,,,,
671651,,,,,,
671649,,,,,,
671645,,,,,,
671639,,,,,,
668640,,,,,,
668638,,,,,,
668635,,,,,,
668634,,,,,,
652682,,,,,,
652681,,,,,,
652680,,,,,,
652679,,,,,,
652678,,,,,,
620043,,,,,,
620042,,,,,,
593262,,,,,,
594001,,,,,,
592957,,,,,,
593263,,,,,,
593550,,,,,,
593356,,,,,,
593260,,,,,,
592699,,,,,,
593594,,,,,,
593595,,,,,,
604376,,,,,,
604093,,,,,,
604092,,,,,,
604091,,,,,,
604071,,,,,,
604006,,,,,,
604005,,,,,,
603362,,,,,,
592952,,,,,,
592693,,,,,,
593596,,,,,,
593959,,,,,,
593580,,,,,,
592665,,,,,,
593567,,,,,,
594813,,,,,,
594011,,,,,,
593554,,,,,,
594690,,,,,,
594221,,,,,,
594231,,,,,,
592954,,,,,,
593357,,,,,,
594220,,,,,,
592669,,,,,,
593355,,,,,,
593916,,,,,,
594010,,,,,,
592950,,,,,,
592672,,,,,,
593597,,,,,,
595575,,,,,,
595417,,,,,,
595415,,,,,,
594693,,,,,,
594815,,,,,,
595389,,,,,,
595387,,,,,,
595386,,,,,,
595385,,,,,,
595384,,,,,,
595383,,,,,,
595359,,,,,,
595358,,,,,,
595356,,,,,,
595349,,,,,,
595345,,,,,,
595344,,,,,,
592545,,,,,,
593951,,,,,,
593264,,,,,,
592666,,,,,,
593559,,,,,,
593106,,,,,,
592951,,,,,,
592681,,,,,,
592678,,,,,,
593558,,,,,,
592706,,,,,,
592682,,,,,,
594809,,,,,,
594733,,,,,,
594716,,,,,,
594714,,,,,,
594713,,,,,,
594711,,,,,,
594708,,,,,,
594706,,,,,,
594704,,,,,,
594700,,,,,,
594698,,,,,,
594695,,,,,,
594692,,,,,,
594425,,,,,,
594424,,,,,,
594422,,,,,,
594421,,,,,,
594420,,,,,,
594419,,,,,,
594417,,,,,,
594266,,,,,,
594263,,,,,,
594243,,,,,,
594241,,,,,,
594234,,,,,,
594230,,,,,,
594225,,,,,,
594224,,,,,,
594223,,,,,,
594222,,,,,,
594008,,,,,,
594006,,,,,,
594004,,,,,,
594003,,,,,,
593972,,,,,,
593971,,,,,,
593968,,,,,,
593965,,,,,,
593955,,,,,,
593954,,,,,,
593953,,,,,,
593950,,,,,,
593948,,,,,,
593946,,,,,,
593945,,,,,,
593942,,,,,,
593932,,,,,,
593930,,,,,,
593915,,,,,,
593590,,,,,,
593589,,,,,,
593588,,,,,,
593587,,,,,,
593586,,,,,,
593585,,,,,,
593583,,,,,,
593579,,,,,,
593577,,,,,,
593574,,,,,,
593571,,,,,,
593570,,,,,,
593568,,,,,,
593561,,,,,,
593532,,,,,,
593360,,,,,,
593358,,,,,,
593259,,,,,,
593258,,,,,,
593256,,,,,,
593255,,,,,,
593254,,,,,,
593252,,,,,,
593109,,,,,,
593108,,,,,,
593107,,,,,,
593105,,,,,,
593102,,,,,,
592960,,,,,,
592959,,,,,,
592956,,,,,,
592955,,,,,,
592949,,,,,,
592704,,,,,,
592703,,,,,,
592701,,,,,,
592697,,,,,,
592685,,,,,,
592674,,,,,,
592668,,,,,,
592664,,,,,,
592663,,,,,,
592624,,,,,,
592623,,,,,,
592613,,,,,,
592610,,,,,,
592521,,,,,,
592518,,,,,,
592515,,,,,,
592514,,,,,,
592477,,,,,,
670540,,,,,,
670539,,,,,,
667752,,,,,,
652616,,,,,,
652615,,,,,,
636055,,,,,,
635528,,,,,,
562792,,,,,,
562778,,,,,,
636057,,,,,,
636052,,,,,,
635529,,,,,,
628546,,,,,,
626104,,,,,,
626103,,,,,,
623252,,,,,,
585607,,B04-3230968,,,,
585595,NL08-1349377,NL09-1204828,,,,
592987,,,,,,
592989,,,,,,
585600,B10-2135006,,,,,
583995,,,,,,
563094,,,,,,
562779,,,,,,
636063,,,,,,
635533,,,,,,
623914,,,,,,
583999,,,,,,
566605,,,,,,
563097,,,,,,
562780,,,,,,
635534,,,,,,
567956,,,,,,
635535,,,,,,
567958,,,,,,
567957,,,,,,
636045,,,,,,
635957,,,,,,
635959,,,,,,
562784,,,,,,
635961,,,,,,
635964,,,,,,
562786,,,,,,
635965,,,,,,
562787,,,,,,
637088,,,,,,
635536,,,,,,
562788,,,,,,
637089,,,,,,
562789,,,,,,
