img_id,ancestor,contribution
112289,NL1998-1215809,0.5
112289,NL1995-1942000,0.25
112289,NL1993-2696143,0.25
112699,B06-6056065,0.5
112699,B03-6485765,0.25
112699,B91-6227405,0.125
112699,B97-6592444,0.125
112699,B00-6553131,0.25
112699,B95-6274330,0.125
112699,BE95-6274317,0.125
112699,B04-6293191,0.5
112699,B90-630670,0.25
112699,B94-6241201,0.25
112735,NL2010-1681876,0.5
112735,NL2009-1186097,0.25
112735,NL2006-4720774,0.125
112735,NL2000-5063949,0.125
112735,NL2004-5430805,0.0625
112735,NL2000-1975952,0.125
112735,NL2003-1135371,0.25
112735,NL1996-2279515,0.125
112735,NL2001-1886591,0.125
112735,CHN2015-03-0887777,0.5
112735,NL2007-1129401,0.25
112735,NL2002-2173592,0.125
112735,NL1998-5821416,0.0625
112735,NL1997-5700531,0.125
112735,NL1996-1434375,0.0625
112735,NL1987-1055610,0.0625
112735,B2008-6340442,0.25
112868,NL2013-1239517,0.5
112868,NL2007-1817923,0.25
112868,NL2003-1135475,0.25
112868,NL2002-1635264,0.125
112868,NL1995-1941948,0.125
112868,NL2009-1186402,0.5
112868,NL2004-2050252,0.25
112868,NL2001-1886550,0.25
113862,CHN2007-04-176460,0.5
113862,BELG2005-6378066,0.5
113863,CHN2005-04-179190,0.5
113863,BELG2005-6378066,0.5
114143,CHN05-02-023608,0.5
114143,CC2002-1043,0.5
114143,B88-6717673,0.25
114143,GL93-3993,0.125
114143,B98-3200237,0.125
114143,B88-6725723,0.25
114719,CHN02-09-120188,0.5
114778,NL99-9964496,0.5
114778,NL93-1125375,0.5
114917,BELG2007-4115066,0.5
114917,BELG2005-43215172,0.25
114917,BELG2004-4277483,0.25
114917,BELG1997-4237625,0.125
114917,BELG1991-4261261,0.125
114917,BELG2007-4369817,0.5
114917,BELG2001-4483214,0.25
114919,BELG2008-4254890,0.5
114919,BELG2002-4333309,0.25
114919,BELG2006-4271058,0.25
114919,BELG2004-4277483,0.5
114919,BELG1997-4237625,0.25
114919,BELG1991-4261261,0.25
115902,B93-6501300,0.5
116055,B00-2352683,0.5
116055,B08-2040296,0.5
116055,B04-5174902,0.25
11677,B02-00825411,0.5
11677,B99-01439857,0.25
11677,B99-6485734,0.25
11677,B98-6350218,0.5
11677,B00-0000006,0.25
11677,B86-6056506,0.25
116926,B00-6178839,0.5
116926,B97-6162118,0.25
116926,B97-6162340,0.25
117130,CHN03-10-475647,0.5
117130,CHN03-10-467758,0.5
118570,B02-4174127,0.5
118570,B02-4134569,0.5
118570,BELG1999-4066126,0.25
118570,BELG1994-4421785,0.25
118571,B97-4237817,0.5
118586,B02-4174127,0.5
118586,B02-4134569,0.5
118586,BELG1999-4066126,0.25
118586,BELG1994-4421785,0.25
121101,NL07-1203498,0.5
121101,NL06-5623780,0.5
12133,B01-6080659,0.5
12133,B99-3085120,0.25
12133,B96-6379868,0.25
12133,B98-6044236,0.5
12133,B91-3000847,0.25
12133,B96-4605777,0.25
12139,B04-6244764,0.5
12139,B00-6245150,0.25
12139,B00-6245149,0.25
12139,B04-6244762,0.5
12139,B99-6340994,0.25
12139,B99-6343940,0.25
121550,B89-2559604,0.5
121550,B85-2359168,0.25
121550,B85-5230489,0.25
121550,B98-2061410,0.5
121550,B97-2076498,0.25
121550,NL96-2477441,0.25
121826,B90-4002926,0.5
121826,B90-4002911,0.5
121902,B00-6534281,0.5
121924,B11-6265152,0.5
121924,B06-6267300,0.25
121924,B00-6156432,0.25
121946,NL07-1203498,0.5
121946,NL06-5623780,0.5
12209,NL98-5820804,0.5
12209,NL97-5700937,0.25
12209,NL97-7034327,0.25
12209,NL2003-1723256,0.5
12209,NL90-2191223,0.25
12209,NL95-1379941,0.25
124086,B99-5118824,0.5
124086,B86-6360347,0.25
124086,B93-5169865,0.25
124089,B1998-6396501,0.5
124089,B98-3158062,0.5
124112,B00-5234619,0.5
124133,B02-6121675,0.5
124133,BELG1994-6495178,0.5
124211,NL03-1168484,0.5
124211,NL98-1249271,0.25
124211,NL97-1560008,0.25
124219,B2010-6342923,0.5
124219,NL08-211559,0.25
124219,NL98-5012191,0.25
124220,B2010-6342923,0.5
124220,NL08-211559,0.25
124220,NL98-5012191,0.25
124276,BE04-4277026,0.5
124276,BE01-4383337,0.25
124276,BE91-4261261,0.75
124276,BE90-4002926,0.375
124276,BE90-4002911,0.375
124645,B08-6369078,0.5
124645,B00-6540682,0.25
124645,B02-6183083,0.25
124645,B08-2189983,0.5
124645,B04-2139350,0.25
124645,B06-2213954,0.25
124646,B05-2267186,0.5
124646,B03-2101321,0.5
125599,B05-6153315,0.5
125599,B2004-6293194,0.25
125599,B1998-6278076,0.25
125599,B2004-6467255,0.5
125599,B89-6150123,0.25
125918,NL16-1523674,0.5
125918,NL13-1237320,0.25
125918,NL02-1665312,0.125
125918,NL12-1395446,0.125
125918,NL14-1441995,0.25
125918,B12-6326126,0.125
125918,NL11-1470512,0.125
125918,NL16-1523685,0.5
125918,NL11-1740162,0.25
125918,NL13-1237283,0.25
125919,NL12-1615476,0.5
125919,B11-6238597,0.25
125919,B11-6238543,0.25
125919,NL07-1844857,0.5
125919,NL03-1166012,0.25
125919,NL06-1096451,0.25
126446,NL08-2041129,0.5
126446,CHN09-02-003632,0.5
126447,NL08-2041129,0.5
126447,CHN09-02-003632,0.5
127310,NL16-1331186,0.5
127310,NL09-2027019,0.25
127310,NL09-2027040,0.25
127310,NL08-1291717,0.125
127310,NL08-1291700,0.125
127310,NL06-1967847,0.0625
127310,NL05-1234823,0.0625
127310,NL16-1331159,0.5
127310,NL13-1023621,0.25
127310,NL14-1754809,0.25
127341,B00-4524225,0.5
127341,B95-4148211,0.25
127341,B94-4578836,0.25
127341,B99-4534680,0.5
127364,B03-2044303,0.5
127364,B99-2017698,0.25
127364,B99-3199649,0.25
127364,B99-4534680,0.5
128207,B03-2168980,0.5
128207,B03-3103042,0.5
128207,B99-3221004,0.25
128207,B99-3221110,0.25
128207,B85-6527336,0.125
128207,B93-3130073,0.125
128941,B05-6166491,0.5
128941,B01-6255457,0.25
128941,B99-6143597,0.25
128941,B04-5221280,0.5
128941,B00-5150519,0.25
128941,B01-5025782,0.25
129312,B01-2030715,0.5
129312,B97-2378786,0.25
129312,B85-6580826,0.125
129312,DV03661-93-400,0.125
129312,B96-6515027,0.25
129312,B81-6688022,0.125
129312,B85-6580715,0.125
129312,B04-2018545,0.5
129312,B92-5040382,0.25
129312,B91-5060199,0.25
129354,NL13-1237320,0.5
129354,NL02-1665312,0.25
129354,NL12-1395446,0.25
129354,NL14-1441995,0.5
129354,B12-6326126,0.25
129354,NL11-1470512,0.25
129727,B98-6590496,0.5
129727,B03-6266193,0.5
129727,B96-6307261,0.25
129727,B92-6074700,0.25
129738,B07-9028276,0.5
129738,B05-6381477,0.25
129738,B06-62012282007,0.25
129738,B04-9107392,0.5
129738,B01-6326421,0.25
129738,B03-9012163,0.25
129739,NL08-1548996,0.5
129739,NL03-5301440,0.25
129739,NL01-2386190,0.25
129739,B99-3020065,0.5
129739,B95-3336674,0.25
129739,B92-3138672,0.125
129739,B89-3160827,0.125
129739,B92-3138647,0.25
129739,B87-3089349,0.125
129739,B88-3307763,0.125
129740,B07-3161836,0.5
129740,B03-3131024,0.25
129740,B98-3194065,0.25
129740,B99-3020065,0.5
129740,B95-3336674,0.25
129740,B92-3138672,0.125
129740,B89-3160827,0.125
129740,B92-3138647,0.25
129740,B87-3089349,0.125
129740,B88-3307763,0.125
129742,B06-6150906,0.5
129742,B99-3020065,0.5
129742,B95-3336674,0.25
129742,B92-3138672,0.125
129742,B89-3160827,0.125
129742,B92-3138647,0.25
129742,B87-3089349,0.125
129742,B88-3307763,0.125
129749,B06-6150906,0.5
129749,B99-3020065,0.5
129749,B95-3336674,0.25
129749,B92-3138672,0.125
129749,B89-3160827,0.125
129749,B92-3138647,0.25
129749,B87-3089349,0.125
129749,B88-3307763,0.125
13006,NL98-1436313,0.5
13006,NL99-1107508,0.5
130063,B09-4077202,0.5
130066,B09-4077202,0.5
130069,B05-4126349,0.5
130069,B03-4196510,0.25
130069,B03-4031418,0.25
130069,B06-4370915,0.5
130069,B05-4126057,0.25
130069,B05-4126065,0.25
130071,B05-4323990,0.5
130071,B02-3228815,0.25
130071,B01-4237509,0.25
130071,B05-4323879,0.5
130071,B03-4423894,0.25
130071,B04-3104177,0.25
130075,B03-4423894,0.5
130075,B10-4007946,0.5
130076,B08-4216026,0.5
130076,B07-4216855,0.25
130076,B07-4216814,0.25
