img_id,ring,code,source
629447,B18-2069187,F1209|F1913|F2410|F2604|F2697|F2738|F2765|F3116,fallback
629451,B18-2069198,F1913|F2410|F2604|F2697|F2738|F2765|F3116,fallback
629452,B18-2069200,F2410|F2483|F2604|F2666|F2697|F2765|F962,fallback
629453,B18-2069361,,fallback
629459,B18-2069362,,fallback
629463,CHN2014-05-055732,F4814:1|F4890:1,structured
629464,B18-2069370,F1913|F2736|F2762|F3116|F474|F509|F510|F711|F863|F878,fallback
629466,B18-2069377,F1913|F2326|F2410|F2483|F2666|F3116|F3212|F474|F510|F711|F874|F878,fallback
629467,B18-2069378,F2326|F2410|F2604|F2684|F2685|F3269|F379|F573|F755|F874,fallback
629469,B18-2069380,F2410|F2483|F2553|F2604|F2666|F2697|F2725|F2765|F2780|F2946,fallback
629470,B18-2069381,F2410|F2483|F2553|F2604|F2666|F2697|F2725|F2765|F2780|F2946,fallback
629487,B18-2069391,F1209|F1913|F2736|F2762|F3116|F773|F863,fallback
629488,B18-2069392,F1209|F1913|F2736|F2762|F3116|F773|F863,fallback
629496,C18-24-0733699,,empty
629498,B18-2069410,F2326|F2410|F2413|F2447|F2467|F2483|F2666|F2737|F2946|F773,fallback
629511,,,fallback
629512,,,empty
629517,,,empty
629519,,,empty
629521,,,fallback
629528,,,empty
629529,,,empty
629530,,,empty
629534,,,empty
629537,,,fallback
629539,,,fallback
629540,,,empty
629542,,,empty
629544,,,empty
629545,,,fallback
629546,,,empty
629548,,,empty
629551,,,empty
629552,,,fallback
629556,B18-2069425,F1913|F2410|F2472|F2577|F2666|F2737|F3116|F3126|F3209|F474|F510|F711|F864|F878,fallback
629557,B18-2069427,F224|F2326|F2410|F2604|F2684|F2685|F3128|F3262|F3269|F379|F54|F573|F755|F764|F921,fallback
629560,B18-2069436,F1181|F1209|F2410|F2491|F2511|F2553|F2604|F2697|F2725|F2765|F2780|F2946|F3073|F773,fallback
629584,B2018-2069437,F1181|F1209|F2410|F2491|F2511|F2553|F2604|F2697|F2725|F2765|F2780|F2946|F3073|F773,fallback
629618,B17-2076324,F1209|F1913|F2410|F2604|F3116|F3212,fallback
629625,B17-2076376,F1913|F2410|F2472|F2483|F2604|F2666|F2737|F3116|F474|F510|F711|F878,fallback
629626,B17-2076398,F2684|F2685|F3269|F379|F573|F755,fallback
629628,B17-2076423,F2326|F2410|F2470|F2486|F2604|F2697|F2765|F2818|F3000|F371|F874,fallback
629629,B17-2076426,F224|F2410|F2604|F2684|F2685|F3128|F3262|F3269|F379|F54|F573|F755|F764|F921,fallback
629632,,,fallback
629633,,,fallback
629634,,,fallback
629635,,F773,fallback
629662,,,empty
629667,T2016-0259,F2975|F3095,fallback
629815,BELG2012-6201317,,fallback
629820,BELG2017-6037517,,fallback
629821,,,fallback
629840,,,empty
629841,,,empty
629842,,,empty
629843,,,empty
629844,,,empty
629845,,,empty
629878,B16-6188866,F1754,fallback
629903,T2016-0258,,fallback
629941,T2017-2315405,F2975|F3095,fallback
629969,C2018-12-0383243,,empty
629970,,,empty
629971,,,fallback
629972,,,fallback
630074,,,empty
630196,,,fallback
630197,,,fallback
630208,,,fallback
630247,,,empty
630253,BE18-6167808,,fallback
630263,BE13-4096740,,fallback
630283,,,fallback
630358,CHN17-09-0162698,,empty
630359,CHN17-09-0206519,,empty
630360,CHN17-09-0162697,,empty
630368,CHN18-09-0130952,,empty
630370,CHN16-09-0113137,,empty
630392,,,fallback
630416,,,fallback
630417,B2012-3127598,,fallback
630418,,,fallback
630419,BO5-4403706,,fallback
630422,BELG2013-3056024,F1581,fallback
630425,T2016-0466,F2975|F3095,fallback
630428,,,fallback
63044,,,empty
630451,B2017-3008292,F1583,fallback
630462,,,empty
630471,DV0297-10-158,,fallback
630475,DV02585-11-728,F5537:2|F5542:2|F5908:2,structured
630476,,,fallback
630484,BELG2013-3159401,,fallback
630491,,,fallback
630497,BELG2014-3157392,F1581,fallback
630504,BELG2015-3025022,,fallback
630520,BELG2013-3164543,,fallback
63054,CHN09-16-035584,F4617:1|F4652:1,structured
630540,BELG2018-3128625,,fallback
630555,BELG2012-3162831,,fallback
630562,,,empty
630602,B15-1051551,F1394:2|F1412:2|F1688:2|F3206:3|F3357:3,structured
630608,B15-1051555,F1395:2|F1694:2|F3206:2|F3357:2,structured
630610,CHN2011-01-1000253,,fallback
630617,C14-22-1057602,,empty
630687,,,empty
630694,,,fallback
630695,,,fallback
630714,CHN2014-13-144442,,empty
630740,,,empty
630742,,,empty
630883,,,empty
630890,,,empty
630903,,,empty
630906,,,empty
630910,,,empty
630920,,,empty
630921,,,empty
630922,,,empty
630925,,,fallback
630932,,,empty
630935,,,empty
630954,,,fallback
630982,CHN2018-30-0270029,,fallback
631036,,,empty
631042,CHN2018-00-B004737,,fallback
631065,C2018-12-0329955,,fallback
631066,C2018-12-0330000,,fallback
631068,C2017-12-0492707,,fallback
631069,C2018-12-0383264,,fallback
631070,C2018-12-0383271,,fallback
631071,C2018-12-0383263,,fallback
631082,,,fallback
631083,,,fallback
631085,,,fallback
631086,,,empty
631087,,,empty
631091,B10-6031878,F319:2|F3065:2|F3170:2|F3346:2,structured
631103,B10-6031862,F272:2|F814:2|F3065:2|F3170:2,structured
631156,,F1659|F1757,fallback
631157,,F1659|F1757,fallback
631175,BELG2013-2053461,,empty
631237,,,empty
631238,,,empty
631240,,,empty
631242,B17-6092038,F780:2|F1348:2|F1957:2|F2006:2,structured
631248,,,empty
631250,,,empty
631253,,,empty
631254,,,empty
631258,,,fallback
631434,,,empty
631535,,,fallback
631537,,,fallback
631546,,,fallback
631548,,,fallback
631565,,,fallback
631576,,,fallback
631578,,,empty
631580,,,fallback
631582,,,fallback
631613,,,empty
63162,,F2480|F2554,fallback
631631,,,fallback
631640,,,fallback
631649,,,fallback
631654,,,fallback
631655,,,fallback
631656,,,fallback
631673,DV09581-13-1001,,fallback
631713,DV07364-10-141,,fallback
631714,DV07364-10-110,,fallback
631718,,,fallback
631725,,,fallback
631726,,,empty
631727,,,fallback
631728,,,empty
631729,,,empty
631730,,,fallback
631731,,,empty
631732,,,fallback
631750,BE09-4018157,,fallback
631798,B17-6260774,F3444:2|F3535:2|F3605:2|F4032:4|F4078:4,structured
631799,B18-6123297,F3444:2|F3535:2|F3605:2|F4032:4|F4078:4,structured
631800,,F1315|F145|F1517|F1529|F1554|F2780|F3170|F3182|F432|F637,fallback
631824,,F1315|F1382|F1383|F145|F1554|F2780|F3170|F3182|F432|F617|F635|F637,fallback
631825,,F1315|F1382|F1383|F145|F1554|F2780|F3170|F3182|F432|F617|F635|F637,fallback
631834,,,fallback
631842,,,empty
631855,DV09581-11-383,,fallback
631878,B15-6100897,F1213:2|F1321:2|F604:3|F100:4|F309:4|F2866:4|F3155:4|F3159:4|F2868:5|F3045:5,structured
631920,CHN2018-00-B004685,,fallback
631974,,,fallback
632079,CHN2017-32-0939565,,fallback
632080,CHN2017-30-0749165,,empty
632082,CHN2017-30-0749103,,fallback
632123,,,fallback
632129,,,empty
632148,,,empty
632153,,,empty
632157,,,empty
632161,,,empty
632520,DV02098-14-1140,F5160:2|F5189:2|F6052:2|F5192:3,structured
632525,,,fallback
632526,,,empty
632532,CHN2015-23-0566489,F3262|F54,fallback
632550,CHN2018-00-B008565,,fallback
632579,,,empty
632625,,,fallback
632636,CHN2018-00-B004701,,fallback
632645,AU2018-JEDDS35108,,fallback
632651,CHN2015-23-0566488,F3262|F54,fallback
632652,,,fallback
632665,CHN2018-26-0234509,,empty
632669,CHN2016-23-0885089,F3262,fallback
632670,CHN2016-23-0885084,F3262,fallback
632672,CHN2014-23-148104,,fallback
632738,,,fallback
632739,,,empty
632764,,,empty
632765,,,fallback
632766,,,empty
632767,,,empty
633051,CHN2018-00-B004706,F1581,fallback
633054,,,fallback
633083,C2012-100011,,fallback
633136,B16-3138736,,empty
633148,,,empty
633214,,,fallback
633218,CHN18-09-0062751,,empty
633230,C2013--43456,,fallback
633232,,,fallback
633238,,,empty
633252,CHN2014-23-249928,F3170,fallback
633255,CHN2014-22-1556831,F3170,fallback
633260,CHN2014-23-249659,F3170,fallback
633264,CHN2017-23-0195012,F3170,fallback
633268,CHN2014-23-0195040,F3170,fallback
633273,CHN2016-23-0885056,F3170|F636|F637,fallback
633274,CHN2016-23-0885166,F3170,fallback
633280,CHN2013-23-686638,F931,fallback
633337,,,empty
633338,,,empty
633344,B11-2070535,F3543:2,structured
633348,,,empty
633360,,,fallback
633371,,,empty
633483,,,fallback
633485,,,fallback
633506,,F1315|F145|F1529|F1554|F2780|F3170|F3182|F432|F637,fallback
633514,,,fallback
633515,,,fallback
633524,,,fallback
633525,,,fallback
633526,,,fallback
633530,NL09-4210207,,fallback
633683,,,fallback
633684,,,fallback
633685,,,fallback
633687,,F1759,fallback
633689,,,fallback
633694,,F1906,fallback
633738,,,empty
633753,,,fallback
633855,C18-01-0372303,F4735:1|F4736:1,structured
634160,,,empty
634161,,,empty
634164,,,empty
634167,,,empty
634170,,,empty
634174,,,empty
634181,,,empty
634184,,,empty
634202,C18-03-0901000,F1906,fallback
634205,,,fallback
634207,,F2399|F3116|F723,fallback
634208,,,fallback
634222,,F2399|F3116|F723,fallback
634236,CHN18-09-0500064,,empty
634241,,,empty
634354,BE14-6091885,,fallback
634355,BELG2006-6210140,,fallback
634372,,,fallback
634398,BELG2013-2053230,,empty
634399,BELG2011-2083306,,empty
634406,T2016-158533,F1485|F1553|F1664|F402,fallback
634486,,,fallback
634533,,,empty
634589,,,empty
634591,,,empty
634602,,,fallback
634615,,,fallback
